ma_khach_hang,ma_san_pham,so_sao,count,count,ma_khach_hang_idx,ma_san_pham_idx
46,318900012,4.0,110,21,83.0,82.0
46,422200002,2.0,16,21,83.0,289.0
46,422203182,3.0,12,21,83.0,275.0
46,422206100,4.0,15,21,83.0,172.0
46,422206101,4.0,16,21,83.0,173.0
46,422206102,4.0,15,21,83.0,174.0
46,422206103,4.0,16,21,83.0,175.0
46,422209605,3.0,10,21,83.0,280.0
46,422209634,4.0,16,21,83.0,176.0
46,422209635,4.0,15,21,83.0,177.0
46,422209636,4.0,17,21,83.0,169.0
46,422216594,5.0,216,21,83.0,19.0
48,308500009,5.0,261,15,209.0,10.0
48,308500013,5.0,269,15,209.0,8.0
48,308500015,5.0,265,15,209.0,11.0
48,308500018,5.0,261,15,209.0,14.0
48,308500037,5.0,260,15,209.0,12.0
48,318900012,5.0,110,15,209.0,82.0
48,422202253,5.0,262,15,209.0,15.0
48,422203182,5.0,12,15,209.0,275.0
48,422205160,5.0,260,15,209.0,16.0
48,422205162,5.0,266,15,209.0,13.0
48,422205163,5.0,262,15,209.0,17.0
48,422205164,5.0,240,15,209.0,18.0
48,422209605,5.0,10,15,209.0,280.0
51,200900037,4.0,22,15,210.0,139.0
51,253900006,3.0,83,15,210.0,112.0
51,318900005,5.0,89,15,210.0,88.0
51,318900011,3.0,113,15,210.0,78.0
51,318900012,3.0,110,15,210.0,82.0
51,318900019,5.0,91,15,210.0,83.0
51,422207865,4.0,24,15,210.0,137.0
51,422207866,4.0,23,15,210.0,143.0
51,422208910,4.0,23,15,210.0,144.0
51,422209322,4.0,22,15,210.0,145.0
51,422212100,3.0,82,15,210.0,121.0
51,422218629,4.0,24,15,210.0,138.0
51,422218633,4.0,11,15,210.0,226.0
52,100220009,5.0,67,13,320.0,40.0
52,100220010,5.0,68,13,320.0,41.0
52,100220037,5.0,69,13,320.0,43.0
52,100230070,5.0,11,13,320.0,305.0
52,207300009,5.0,69,13,320.0,42.0
52,207500002,5.0,10,13,320.0,310.0
52,318900011,5.0,113,13,320.0,78.0
52,318900012,5.0,110,13,320.0,82.0
52,422206042,5.0,66,13,320.0,44.0
52,422206043,5.0,66,13,320.0,45.0
52,422214147,5.0,22,13,320.0,281.0
54,211300005,5.0,14,11,468.0,230.0
54,318900011,5.0,113,11,468.0,78.0
54,318900011,5.0,113,11,468.0,78.0
